Date,Open,High,Low,Close,Volume
2020-06-16,358.051,365.355,355.78,359.475,161455.03925598
2020-06-17,363.736,370.941,357.768,367.149,286985.14257425
2020-06-18,367.149,375.778,366.017,367.061,195575.93378926
2020-06-19,353.889,373.311,353.79,372.17,909047.13067624
2020-06-22,369.615,387.625,367.724,385.821,483426.68804363
2020-06-23,386.016,390.462,379.278,382.885,253401.66571914
2020-06-24,388.571,391.32,383.831,386.298,202618.77194971
2020-06-25,386.679,391.037,383.831,391.037,238607.2954753
2020-06-26,393.308,394.732,374.354,374.637,564003.44355198
2020-06-29,373.408,381.842,369.615,380.614,309294.12985634
2020-06-30,379.093,384.016,373.214,374.257,309594.63248937
2020-07-01,374.832,382.983,369.615,382.125,238198.07857912
2020-07-02,383.733,387.245,379.951,383.733,225591.32647948
2020-07-03,385.724,388.385,382.691,384.777,114237.15283265
2020-07-06,388.385,389.048,382.788,383.831,170703.95647324
2020-07-07,383.831,386.104,379.473,383.266,198792.2350083
2020-07-08,383.266,383.929,376.158,378.245,192221.17572565
2020-07-09,378.332,379.951,365.735,365.735,463316.60057456
2020-07-10,361.367,365.823,359.192,360.138,412319.35509761
2020-07-13,362.985,365.257,349.433,350.184,479188.88299353
2020-07-14,347.726,348.673,332.75,335.401,659262.77822226
2020-07-15,338.717,359.378,338.717,345.922,595355.20119386
2020-07-16,346.868,351.139,342.704,349.053,228806.60209227
2020-07-17,350.095,352.182,347.062,351.607,231559.32928357
2020-07-20,352.552,372.745,352.465,372.551,328641.16627089
2020-07-21,376.246,377.202,360.138,361.084,431789.46426288
2020-07-22,361.367,365.823,355.4,362.985,317430.26428576
2020-07-23,364.975,369.332,362.128,367.246,346579.01968961
2020-07-24,362.128,368.474,359.378,367.724,453477.95976005
2020-07-27,367.724,380.234,363.074,378.332,530744.0582738
2020-07-28,376.821,377.202,369.801,374.54,303174.33732636
2020-07-29,372.931,382.505,370.756,380.038,605152.81775812
2020-07-30,384.777,389.331,377.103,377.669,664164.15052003
2020-07-31,378.713,383.646,377.289,380.984,250583.29972746
2020-08-03,379.093,396.907,378.527,395.2,718609.48422991
2020-08-04,397.102,400.895,392.548,395.678,749251.52234258
2020-08-05,395.015,397.57,387.059,388.571,361227.75384509
2020-08-06,389.993,395.775,386.298,390.94,248961.8162366
2020-08-07,390.462,409.046,388.756,404.677,358425.7975535
2020-08-10,404.677,412.264,402.026,403.166,286428.2383772
2020-08-11,404.873,407.144,390.657,394.829,236718.12875161
2020-08-12,394.829,398.428,388.571,396.156,242483.061517
2020-08-13,396.156,397.95,389.233,389.233,325851.51725437
2020-08-14,388.385,394.167,385.724,389.233,178770.34967725
2020-08-17,389.233,393.308,386.104,386.679,339362.85407188
2020-08-18,386.679,388.19,380.418,385.06,258547.13230586
2020-08-19,384.777,393.308,382.885,393.308,200382.95031147
2020-08-20,392.363,392.363,383.451,387.245,146668.87386218
2020-08-21,391.885,393.689,387.625,387.809,188741.29369879
2020-08-24,392.548,397.199,390.276,392.928,197341.00215596
2020-08-25,392.363,394.254,385.724,386.679,266226.87195133
2020-08-26,388.092,414.819,386.484,414.155,265646.3788104
2020-08-27,412.264,437.849,410.46,436.718,670433.6815634
2020-08-28,431.501,434.348,420.599,422.687,372360.70975476
2020-08-31,422.687,426.382,412.264,415.579,354152.09628444
2020-09-01,415.579,424.393,413.589,417.665,295422.80524296
2020-09-02,416.154,427.426,415.199,416.904,176592.98759561
2020-09-03,420.229,423.448,407.339,408.09,319119.43778951
2020-09-04,397.863,413.122,390.092,405.633,858706.27320317
2020-09-07,407.622,416.154,403.449,413.785,160883.77657134
2020-09-08,417.002,417.285,405.818,410.752,409572.78154384
2020-09-09,410.372,411.601,404.307,409.417,442765.50241538
2020-09-10,408.753,410.655,405.438,406.579,486411.2022488
2020-09-11,407.525,410.372,404.775,407.709,446982.79534034
2020-09-14,410.372,411.786,395.492,395.492,643396.64944082
2020-09-15,395.395,395.395,379.57,381.94,474454.6845155
2020-09-16,384.397,391.32,380.517,384.113,362665.65381611
2020-09-17,380.984,384.972,376.061,382.885,346593.37817719
2020-09-18,383.831,389.799,381.081,381.081,725596.93965252
2020-09-21,380.984,387.809,365.159,365.159,444373.6530249
2020-09-22,370.844,386.581,369.801,379.951,588931.82921208
2020-09-23,379.951,388.005,379.951,385.724,339310.54815281
2020-09-24,382.885,388.005,377.485,381.56,563649.60939363
2020-09-25,383.451,388.571,379.19,388.571,296399.18239874
2020-09-28,392.363,407.144,391.7,407.144,332905.63708364
2020-09-29,407.427,411.981,402.309,408.85,328921.1567788
2020-09-30,402.786,407.905,396.536,396.536,452334.40878454
2020-10-01,395.112,395.112,357.291,362.605,1235224.7907201
2020-10-02,369.713,379.57,364.029,376.441,799927.75306139
2020-10-05,381.94,389.048,374.452,377.865,409956.35828361
2020-10-06,379.093,379.853,353.508,355.214,837506.99189015
2020-10-07,355.683,359.952,346.585,357.388,558651.83010779
2020-10-08,361.28,368.572,360.041,368.572,383170.59969377
2020-10-09,369.518,369.518,353.976,358.432,387714.03540817
2020-10-12,358.246,362.693,351.607,351.607,454558.94875395
2020-10-13,351.607,364.116,347.814,362.985,298673.9770747
2020-10-14,362.985,376.909,360.235,368.67,447845.3302017
2020-10-15,366.203,367.246,353.79,355.4,328631.93581459
2020-10-16,358.246,369.615,358.246,358.812,662446.26004111
2020-10-19,361.66,363.931,352.552,352.552,327484.28241404
2020-10-20,352.552,358.246,343.27,348.673,512433.90978414
2020-10-21,348.008,350.095,336.163,346.682,724099.55451866
2020-10-22,341.183,356.823,339.292,347.443,351585.00382549
2020-10-23,348.194,350.758,334.261,335.021,825136.1292294
2020-10-26,335.967,346.488,335.499,341.183,395580.43539225
2020-10-27,344.216,360.138,343.65,345.074,724073.91436225
2020-10-28,330.76,335.401,303.275,313.698,1655219.7830381
2020-10-29,318.436,337.868,316.545,335.499,806559.32311316
2020-10-30,333.315,333.598,315.882,317.87,614224.30509308
2020-11-02,325.642,330.566,323.555,324.784,489240.84990931
2020-11-03,329.337,347.345,325.077,345.922,617420.09418701
2020-11-04,345.922,366.68,340.999,361.28,796631.45455437
